UNIQUE_CELL_ID,UNIQUE_CELL_NAME,TYPE,ORGAN,ANATOMY_ID,CELL_TYPE_ID,CPID,Germ Layer,Differentiation State,Source Age,Raw Anatomy Id,Raw Cell Type Id,Body Part,Sub-organ,Tissue 1,Tissue 2,Tissue 3,Tissue 4,Tissue 5-1,Tissue 5-2,Tissue 5-3,Tissue 5-4,Cell Type,Synonym,CL Id,UBERON Id,Image Id,Tissue Image ID
20,ACTIVATED_CD8+_T_CELL,Activated CD8+ T cell,Blood,8010000000000000000000,284,20,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,284,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Activated CD8+ T cell,NA,CL:0000906,NA,NA,NA
21,T_HELPER_CELL,T helper cell,Blood,8010000000000000000000,16,21,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,16,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper cell,NA,CL:0000912,NA,NA,NA
22,NAIVE_T_CELL_(TH0_CELL),Naive T cell (Th0 cell),Blood,8010000000000000000000,280,22,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,280,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naive T cell (Th0 cell),NA,CL:0000898,NA,NA,NA
23,NAÏVE_CD4+_T_CELL,Naïve CD4+ T cell,Blood,8010000000000000000000,281,23,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,281,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naïve CD4+ T cell,NA,CL:0000895,NA,NA,NA
24,NAÏVE_CD8+_T_CELL,Naïve CD8+ T cell,Blood,8010000000000000000000,282,24,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,282,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naïve CD8+ T cell,NA,NA,NA,NA,NA
25,T_HELPER1_(TH1)_CELL,T helper1 (Th1) cell,Blood,8010000000000000000000,263,25,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,263,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper1 (Th1) cell,NA,CL:0000545,NA,NA,NA
26,T_HELPER2_(TH2)_CELL,T helper2 (Th2) cell,Blood,8010000000000000000000,264,26,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,264,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper2 (Th2) cell,NA,CL:0000546,NA,NA,NA
27,T_HELPER3_(TH3)_CELL,T helper3 (Th3) cell,Blood,8010000000000000000000,265,27,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,265,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper3 (Th3) cell,NA,NA,NA,NA,NA
28,T_HELPER9_(TH9)_CELL,T helper9 (Th9) cell,Blood,8010000000000000000000,266,28,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,266,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper9 (Th9) cell,NA,CL:0002061,NA,NA,NA
29,T_HELPER17_(TH17)_CELL,T helper17 (Th17) cell,Blood,8010000000000000000000,267,29,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,267,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper17 (Th17) cell,NA,CL:0000899,NA,NA,NA
30,T_HELPER22_(TH22)_CELL,T helper22 (Th22) cell,Blood,8010000000000000000000,268,30,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,268,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper22 (Th22) cell,NA,CL:0001042,NA,NA,NA
31,FOLLICULAR_HELPER_(TFH)_T_CELL,Follicular helper (Tfh) T cell,Blood,8010000000000000000000,269,31,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,269,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Follicular helper (Tfh) T cell,NA,CL_0002038,NA,NA,NA
32,MEMORY_T_CELL,Memory T cell,Blood,8010000000000000000000,270,32,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,270,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory T cell,NA,CL:0000813,NA,NA,NA
33,CENTRAL_CD4+_MEMORY_T_(TCM)_CELL,Central CD4+ memory T (Tcm) cell,Blood,8010000000000000000000,271,33,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,271,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central CD4+ memory T (Tcm) cell,NA,CL:0000904,NA,NA,NA
34,CENTRAL_CD8+_MEMORY_T_(TCM)_CELL,Central CD8+ memory T (Tcm) cell,Blood,8010000000000000000000,272,34,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,272,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central CD8+ memory T (Tcm) cell,NA,CL:0000907,NA,NA,NA
35,EFFECTOR_CD4+_MEMORY_T_(TEM)_CELL,Effector CD4+ memory T (Tem) cell,Blood,8010000000000000000000,273,35,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,273,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Effector CD4+ memory T (Tem) cell,NA,CL:0000905,NA,NA,NA
36,EFFECTOR_CD8+_MEMORY_T_(TEM)_CELL,Effector CD8+ memory T (Tem) cell,Blood,8010000000000000000000,274,36,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,274,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Effector CD8+ memory T (Tem) cell,NA,CL:0000913,NA,NA,NA
37,RESIDENT_MEMORY_T_(TRM)_CELL,Resident memory T (Trm) cell,Blood,8010000000000000000000,275,37,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,275,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Resident memory T (Trm) cell,NA,NA,NA,NA,NA
38,REGULATORY_T_(TREG)_CELL,Regulatory T (Treg) cell,Blood,8010000000000000000000,276,38,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,276,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Regulatory T (Treg) cell,NA,CL:0000815,NA,NA,NA
39,CD8+_CYTOTOXIC_T_LYMPHOCYTE,CD8+ cytotoxic T lymphocyte,Blood,8010000000000000000000,277,39,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,277,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,CD8+ cytotoxic T lymphocyte,NA,CL:0000794,NA,NA,NA
40,GAMMA_DELTA_T_CELL,Gamma delta T cell,Blood,8010000000000000000000,278,40,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,278,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gamma delta T cell,NA,CL:0000798,NA,NA,NA
41,NATURAL_KILLER_T_(NKT)_CELL,Natural killer T (NKT) cell,Blood,8010000000000000000000,279,41,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,279,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural killer T (NKT) cell,NA,CL:0000814,NA,NA,NA
42,PLATELET_(THROMBOCYTE),Platelet (thrombocyte),Blood,8010000000000000000000,31,42,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,31,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platelet (thrombocyte),NA,CL:0000233,NA,NA,NA
43,MYELOID_DENDRITIC_CELL,Myeloid dendritic cell,Blood,8010000000000000000000,32,43,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,32,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myeloid dendritic cell,NA,CL:0001057,NA,NA,NA
44,ACTIVATED_MYELOID_DENDRITIC_CELL,Activated myeloid dendritic cell,Blood,8010000000000000000000,9,44,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,9,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Activated myeloid dendritic cell,NA,NA,NA,NA,NA
45,PLASMACYTOID_DENDRITIC_CELL,Plasmacytoid dendritic cell,Blood,8010000000000000000000,40,45,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,40,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plasmacytoid dendritic cell,NA,CL:0001058,NA,NA,NA
46,NATURAL_KILLER_CELL,Natural killer cell,Blood,8010000000000000000000,261,46,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,261,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural killer cell,NA,CL:0000623,NA,NA,NA
47,GRANULOCYTE,Granulocyte,Blood,8010000000000000000000,50,47,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,50,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Granulocyte,NA,CL:0000094,NA,NA,NA
48,B_CELL_CPID=48,B cell,Embryonic blood,8020000000000000000000,1,48,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,1,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,B cell,NA,CL:0000236,NA,NA,NA
49,BASOPHIL_CPID=49,Basophil,Embryonic blood,8020000000000000000000,2,49,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,2,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Basophil,NA,CL:0000767,NA,NA,NA
50,EOSINOPHIL_CPID=50,Eosinophil,Embryonic blood,8020000000000000000000,3,50,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,3,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eosinophil,NA,CL:0000771,NA,NA,NA
51,LEUKOCYTE_CPID=51,Leukocyte,Embryonic blood,8020000000000000000000,4,51,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,4,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leukocyte,NA,CL:0000738,NA,NA,NA
52,LYMPHOCYTE_CPID=52,Lymphocyte,Embryonic blood,8020000000000000000000,5,52,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,5,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lymphocyte,NA,CL:0000542,NA,NA,NA
53,MACROPHAGE_CPID=53,Macrophage,Embryonic blood,8020000000000000000000,6,53,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,6,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrophage,NA,CL:0000235,NA,NA,NA
54,MAST_CELL_CPID=54,Mast cell,Embryonic blood,8020000000000000000000,10,54,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,10,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mast cell,NA,CL:0000097,NA,NA,NA
55,MONOCYTE_CPID=55,Monocyte,Embryonic blood,8020000000000000000000,11,55,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,11,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monocyte,NA,CL:0000576,NA,NA,NA
56,NEUTROPHIL_CPID=56,Neutrophil,Embryonic blood,8020000000000000000000,12,56,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,12,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutrophil,NA,CL:0000775,NA,NA,NA
57,PLASMA_CELL_CPID=57,Plasma cell,Embryonic blood,8020000000000000000000,13,57,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,13,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plasma cell,NA,CL:0000786,NA,NA,NA
58,RED_BLOOD_CELL_(ERYTHROCYTE)_CPID=58,Red blood cell (erythrocyte),Embryonic blood,8020000000000000000000,14,58,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,14,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red blood cell (erythrocyte),NA,CL:0000232,NA,NA,NA
59,T_CELL_CPID=59,T cell,Embryonic blood,8020000000000000000000,15,59,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,15,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T cell,NA,CL:0000084,NA,NA,NA
60,T_HELPER_CELL_CPID=60,T helper cell,Embryonic blood,8020000000000000000000,16,60,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,16,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper cell,NA,CL:0000912,NA,NA,NA
61,T_HELPER1_(TH1)_CELL_CPID=61,T helper1 (Th1) cell,Embryonic blood,8020000000000000000000,263,61,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,263,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper1 (Th1) cell,NA,CL:0000545,NA,NA,NA
62,T_HELPER2_(TH2)_CELL_CPID=62,T helper2 (Th2) cell,Embryonic blood,8020000000000000000000,264,62,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,264,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper2 (Th2) cell,NA,CL:0000546,NA,NA,NA
63,T_HELPER3_(TH3)_CELL_CPID=63,T helper3 (Th3) cell,Embryonic blood,8020000000000000000000,265,63,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,265,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper3 (Th3) cell,NA,NA,NA,NA,NA
64,T_HELPER9_(TH9)_CELL_CPID=64,T helper9 (Th9) cell,Embryonic blood,8020000000000000000000,266,64,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,266,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper9 (Th9) cell,NA,CL:0002061,NA,NA,NA
65,T_HELPER17_(TH17)_CELL_CPID=65,T helper17 (Th17) cell,Embryonic blood,8020000000000000000000,267,65,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,267,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper17 (Th17) cell,NA,CL:0000899,NA,NA,NA
66,T_HELPER22_(TH22)_CELL_CPID=66,T helper22 (Th22) cell,Embryonic blood,8020000000000000000000,268,66,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,268,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T helper22 (Th22) cell,NA,CL:0001042,NA,NA,NA
67,FOLLICULAR_HELPER_(TFH)_T_CELL_CPID=67,Follicular helper (Tfh) T cell,Embryonic blood,8020000000000000000000,269,67,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,269,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Follicular helper (Tfh) T cell,NA,CL_0002038,NA,NA,NA
68,MEMORY_T_CELL_CPID=68,Memory T cell,Embryonic blood,8020000000000000000000,270,68,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,270,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory T cell,NA,CL:0000813,NA,NA,NA
69,CENTRAL_CD4+_MEMORY_T_(TCM)_CELL_CPID=69,Central CD4+ memory T (Tcm) cell,Embryonic blood,8020000000000000000000,271,69,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,271,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central CD4+ memory T (Tcm) cell,NA,CL:0000904,NA,NA,NA
70,CENTRAL_CD8+_MEMORY_T_(TCM)_CELL_CPID=70,Central CD8+ memory T (Tcm) cell,Embryonic blood,8020000000000000000000,272,70,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,272,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central CD8+ memory T (Tcm) cell,NA,CL:0000907,NA,NA,NA
71,EFFECTOR_CD4+_MEMORY_T_(TEM)_CELL_CPID=71,Effector CD4+ memory T (Tem) cell,Embryonic blood,8020000000000000000000,273,71,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,273,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Effector CD4+ memory T (Tem) cell,NA,CL:0000905,NA,NA,NA
72,EFFECTOR_CD8+_MEMORY_T_(TEM)_CELL_CPID=72,Effector CD8+ memory T (Tem) cell,Embryonic blood,8020000000000000000000,274,72,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,274,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Effector CD8+ memory T (Tem) cell,NA,CL:0000913,NA,NA,NA
73,RESIDENT_MEMORY_T_(TRM)_CELL_CPID=73,Resident memory T (Trm) cell,Embryonic blood,8020000000000000000000,275,73,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,275,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Resident memory T (Trm) cell,NA,NA,NA,NA,NA
74,REGULATORY_T_(TREG)_CELL_CPID=74,Regulatory T (Treg) cell,Embryonic blood,8020000000000000000000,276,74,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,276,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Regulatory T (Treg) cell,NA,CL:0000815,NA,NA,NA
