No.,Germ Layer,Differentiation State,Source Age,Anatomy Id,Cell Type Id,Body Part,Organ,Sub-organ,Tissue 1,Tissue 2,Tissue 3,Tissue 4,Tissue 5-1,Tissue 5-2,Tissue 5-3,Tissue 5-4,Cell Type,Synonym,CL Id,UBERON Id,Image Id,Tissue Image ID
14,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,288,Immune system class,Blood,,,,,,,,,,CD16+ monocyte,,CL:0002397,,,
15,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,12,Immune system class,Blood,,,,,,,,,,Neutrophil,,CL:0000775,,31   60   980   981,
16,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,13,Immune system class,Blood,,,,,,,,,,Plasma cell,,CL:0000786,,6   17   20   52   67   74   80   174   410   420   421   431   432   438   439   454   455   480   521   522   530   534   538   547   549   551   557   562   565   566   570   587   590   596   603   608   609   610   621   622   623   628,
17,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,14,Immune system class,Blood,,,,,,,,,,Red blood cell (erythrocyte),,CL:0000232,,56   571   584   982   983   984   985,
18,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,15,Immune system class,Blood,,,,,,,,,,T cell,,CL:0000084,,,
19,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,283,Immune system class,Blood,,,,,,,,,,Activated CD4+ T cell,,CL:0000896,,,
20,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,284,Immune system class,Blood,,,,,,,,,,Activated CD8+ T cell,,CL:0000906,,,
21,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,16,Immune system class,Blood,,,,,,,,,,T helper cell,,CL:0000912,,,
22,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,280,Immune system class,Blood,,,,,,,,,,Naive T cell (Th0 cell),,CL:0000898,,,
23,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,281,Immune system class,Blood,,,,,,,,,,Na_ve CD4+ T cell,,CL:0000895,,,
24,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,282,Immune system class,Blood,,,,,,,,,,Na_ve CD8+ T cell,,,,,
25,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,263,Immune system class,Blood,,,,,,,,,,T helper1 (Th1) cell,,CL:0000545,,,
26,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,264,Immune system class,Blood,,,,,,,,,,T helper2 (Th2) cell,,CL:0000546,,,
27,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,265,Immune system class,Blood,,,,,,,,,,T helper3 (Th3) cell,,,,,
28,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,266,Immune system class,Blood,,,,,,,,,,T helper9 (Th9) cell,,CL:0002061,,,
29,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,267,Immune system class,Blood,,,,,,,,,,T helper17 (Th17) cell,,CL:0000899,,,
30,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,268,Immune system class,Blood,,,,,,,,,,T helper22 (Th22) cell,,CL:0001042,,,
31,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,269,Immune system class,Blood,,,,,,,,,,Follicular helper (Tfh) T cell,,CL_0002038,,,
32,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,270,Immune system class,Blood,,,,,,,,,,Memory T cell,,CL:0000813,,,
33,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,271,Immune system class,Blood,,,,,,,,,,Central CD4+ memory T (Tcm) cell,,CL:0000904,,,
34,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,272,Immune system class,Blood,,,,,,,,,,Central CD8+ memory T (Tcm) cell,,CL:0000907,,,
35,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,273,Immune system class,Blood,,,,,,,,,,Effector CD4+ memory T (Tem) cell,,CL:0000905,,,
36,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,274,Immune system class,Blood,,,,,,,,,,Effector CD8+ memory T (Tem) cell,,CL:0000913,,,
37,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,275,Immune system class,Blood,,,,,,,,,,Resident memory T (Trm) cell,,,,,
38,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,276,Immune system class,Blood,,,,,,,,,,Regulatory T (Treg) cell,,CL:0000815,,,
39,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,277,Immune system class,Blood,,,,,,,,,,CD8+ cytotoxic T lymphocyte,,CL:0000794,,,
40,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,278,Immune system class,Blood,,,,,,,,,,Gamma delta T cell,,CL:0000798,,,
41,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,279,Immune system class,Blood,,,,,,,,,,Natural killer T (NKT) cell,,CL:0000814,,,
42,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,31,Immune system class,Blood,,,,,,,,,,Platelet (thrombocyte),,CL:0000233,,,
43,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,32,Immune system class,Blood,,,,,,,,,,Myeloid dendritic cell,,CL:0001057,,,
44,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,9,Immune system class,Blood,,,,,,,,,,Activated myeloid dendritic cell,,,,,
45,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,40,Immune system class,Blood,,,,,,,,,,Plasmacytoid dendritic cell,,CL:0001058,,,
46,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,261,Immune system class,Blood,,,,,,,,,,Natural killer cell,,CL:0000623,,,
47,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,50,Immune system class,Blood,,,,,,,,,,Granulocyte,,CL:0000094,,,
48,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,1,Immune system class,Embryonic blood,,,,,,,,,,B cell,,CL:0000236,,,
49,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,2,Immune system class,Embryonic blood,,,,,,,,,,Basophil,,CL:0000767,,,
50,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,3,Immune system class,Embryonic blood,,,,,,,,,,Eosinophil,,CL:0000771,,,
51,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,4,Immune system class,Embryonic blood,,,,,,,,,,Leukocyte,,CL:0000738,,,
52,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,5,Immune system class,Embryonic blood,,,,,,,,,,Lymphocyte,,CL:0000542,,,
53,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,6,Immune system class,Embryonic blood,,,,,,,,,,Macrophage,,CL:0000235,,,
54,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,10,Immune system class,Embryonic blood,,,,,,,,,,Mast cell,,CL:0000097,,,
55,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,11,Immune system class,Embryonic blood,,,,,,,,,,Monocyte,,CL:0000576,,,
56,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,12,Immune system class,Embryonic blood,,,,,,,,,,Neutrophil,,CL:0000775,,,
57,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,13,Immune system class,Embryonic blood,,,,,,,,,,Plasma cell,,CL:0000786,,,
58,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,14,Immune system class,Embryonic blood,,,,,,,,,,Red blood cell (erythrocyte),,CL:0000232,,,
59,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,15,Immune system class,Embryonic blood,,,,,,,,,,T cell,,CL:0000084,,,
60,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,16,Immune system class,Embryonic blood,,,,,,,,,,T helper cell,,CL:0000912,,,
61,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,263,Immune system class,Embryonic blood,,,,,,,,,,T helper1 (Th1) cell,,CL:0000545,,,
62,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,264,Immune system class,Embryonic blood,,,,,,,,,,T helper2 (Th2) cell,,CL:0000546,,,
63,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,265,Immune system class,Embryonic blood,,,,,,,,,,T helper3 (Th3) cell,,,,,
64,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,266,Immune system class,Embryonic blood,,,,,,,,,,T helper9 (Th9) cell,,CL:0002061,,,
65,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,267,Immune system class,Embryonic blood,,,,,,,,,,T helper17 (Th17) cell,,CL:0000899,,,
66,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,268,Immune system class,Embryonic blood,,,,,,,,,,T helper22 (Th22) cell,,CL:0001042,,,
67,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,269,Immune system class,Embryonic blood,,,,,,,,,,Follicular helper (Tfh) T cell,,CL_0002038,,,
68,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,270,Immune system class,Embryonic blood,,,,,,,,,,Memory T cell,,CL:0000813,,,
69,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,271,Immune system class,Embryonic blood,,,,,,,,,,Central CD4+ memory T (Tcm) cell,,CL:0000904,,,
70,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,272,Immune system class,Embryonic blood,,,,,,,,,,Central CD8+ memory T (Tcm) cell,,CL:0000907,,,
71,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,273,Immune system class,Embryonic blood,,,,,,,,,,Effector CD4+ memory T (Tem) cell,,CL:0000905,,,
72,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,274,Immune system class,Embryonic blood,,,,,,,,,,Effector CD8+ memory T (Tem) cell,,CL:0000913,,,
73,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,275,Immune system class,Embryonic blood,,,,,,,,,,Resident memory T (Trm) cell,,,,,
74,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,276,Immune system class,Embryonic blood,,,,,,,,,,Regulatory T (Treg) cell,,CL:0000815,,,
75,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,277,Immune system class,Embryonic blood,,,,,,,,,,CD8+ cytotoxic T lymphocyte,,CL:0000794,,,
76,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,278,Immune system class,Embryonic blood,,,,,,,,,,Gamma delta T cell,,CL:0000798,,,
77,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,279,Immune system class,Embryonic blood,,,,,,,,,,Natural killer T (NKT) cell,,CL:0000814,,,
78,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,31,Immune system class,Embryonic blood,,,,,,,,,,Platelet (thrombocyte),,CL:0000233,,,
79,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,32,Immune system class,Embryonic blood,,,,,,,,,,Myeloid dendritic cell,,CL:0001057,,,
80,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,40,Immune system class,Embryonic blood,,,,,,,,,,Plasmacytoid dendritic cell,,CL:0001058,,,
81,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,261,Immune system class,Embryonic blood,,,,,,,,,,Natural killer cell,,CL:0000623,,,
82,4 Mesodermal,4 Terminally differentiated,5 Pharyngula state 6 Fetus state,8020000000000000000000,50,Immune system class,Embryonic blood,,,,,,,,,,Granulocyte,,CL:0000094,,,
83,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000001020101000000000,108,Head,,,Adipose tissue,Facial,Subcutaneous adipose tissue,White adipose tissue,,,,,White fat cell (white adipocyte),,CL:0000448,,,
84,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000001030101000000000,108,Head,,,Adipose tissue,Cranial,Subcutaneous adipose tissue,White adipose tissue,,,,,White fat cell (white adipocyte),,CL:0000448,,,
85,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002010103000000000,120,Head,,,Skin,Facial skin,Dermis,Papillary layer,,,,,Fibroblast,,,,,
86,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002010103000000000,405,Head,,,Skin,Facial skin,Dermis,Papillary layer,,,,,Fibrocyte,,CL:0000135,,,
87,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002010104000000000,120,Head,,,Skin,Facial skin,Dermis,Reticular layer,,,,,Fibroblast,,,,,
88,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002010104000000000,405,Head,,,Skin,Facial skin,Dermis,Reticular layer,,,,,Fibrocyte,,CL:0000135,,,
89,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002010300000000000,120,Head,,,Skin,Facial skin,Subcutis,,,,,,Fibroblast,,,,,
90,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002010300000000000,405,Head,,,Skin,Facial skin,Subcutis,,,,,,Fibrocyte,,CL:0000135,,,
91,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002020100000000000,120,Head,,,Skin,Cranial skin,Dermis,,,,,,Fibroblast,,,,,
92,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1000002020100000000000,995,Head,,,Skin,Cranial skin,Dermis,,,,,,Dermal progenitor cell,,,,,
93,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010000000000000000000,189,Head,Brain,,,,,,,,,,Neuron,,CL:0000540,,,
94,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010000000000000000000,18,Head,Brain,,,,,,,,,,Astrocyte,,CL:0000127,,,
95,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010000000000000000000,213,Head,Brain,,,,,,,,,,Radial glial cell,,CL:0000681,,,
96,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010000000000000000000,132,Head,Brain,,,,,,,,,,Oligodendrocyte,,CL:0000128,,,
97,4 Mesodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010001010100000000000,120,Head,Brain,,Meninges,Dura mater,Periosteal layer,,,,,,Fibroblast,,CL:0000057,,,
98,4 Mesodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010001010200000000000,120,Head,Brain,,Meninges,Dura mater,Meningeal layer,,,,,,Fibroblast,,CL:0000057,,,
99,4 Mesodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010001010300000000000,120,Head,Brain,,Meninges,Dura mater,Dural border cell layer,,,,,,Fibroblast,,CL:0000057,,,
100,4 Mesodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010001020000000000000,120,Head,Brain,,Meninges,Arachnoid mater,,,,,,,Fibroblast,,CL:0000057,,,
101,4 Mesodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010001020000000000000,25,Head,Brain,,Meninges,Arachnoid mater,,,,,,,Arachnoid trabecular cell,,CL:0002379,,,
102,4 Mesodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010001030000000000000,120,Head,Brain,,Meninges,Pia mater,,,,,,,Fibroblast,,CL:0000057,,,
103,4 Mesodermal,4 Terminally differentiated,6 Fetus state,1010002000000000000000,407,Head,Brain,,Blood-brain barrier,,,,,,,,Endothelial stalk cell,,CL:0002671,,,
104,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010002000000000000000,408,Head,Brain,,Blood-brain barrier,,,,,,,,Endothelial tip cell,,CL:0000704,,,
105,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010002000000000000000,78,Head,Brain,,Blood-brain barrier,,,,,,,,Endothelial cell,,CL:1000413,,,
106,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010002000000000000000,205,Head,Brain,,Blood-brain barrier,,,,,,,,Pericyte,,CL:0000669,,,
107,2 Ecotodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010002000000000000000,18,Head,Brain,,Blood-brain barrier,,,,,,,,Astrocyte,,CL:0000127,,,
108,4 Mesodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010002000100000000000,78,Head,Brain,,Blood-brain barrier,,Continuous capillary,,,,,,Endothelial cell,,CL:0002144,,,
109,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010100000100000000000,213,Head,Brain,Cerebellum,,,Ventricular zone,,,,,,Radial glial cell,,CL:0000681,,,
110,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010101010000000000000,137,Head,Brain,Cerebellum,Cerebellar cortex,Granular layer of cerebellar cortex,,,,,,,Golgi cell,,CL:0000119,,,t161
111,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010101010000000000000,167,Head,Brain,Cerebellum,Cerebellar cortex,Granular layer of cerebellar cortex,,,,,,,Lugaro cell,,CL:0011006,,,t161
112,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010101010000000000000,140,Head,Brain,Cerebellum,Cerebellar cortex,Granular layer of cerebellar cortex,,,,,,,Granule cell,,CL:0001032,,,t161
113,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010101020000000000000,238,Head,Brain,Cerebellum,Cerebellar cortex,Molecular layer of cerebellar cortex,,,,,,,Stellate cell,,CL:0010010,,,t161
114,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010101020000000000000,34,Head,Brain,Cerebellum,Cerebellar cortex,Molecular layer of cerebellar cortex,,,,,,,Basket cell,,CL:0000118,,,t161
115,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010101030000000000000,217,Head,Brain,Cerebellum,Cerebellar cortex,Purkinje cell layer of cerebellar cortex,,,,,,,Purkinje cell,,CL:0000121,,,t161
116,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010101030000000000000,33,Head,Brain,Cerebellum,Cerebellar cortex,Purkinje cell layer of cerebellar cortex,,,,,,,Bergmann glial cell,,CL:0000644,,,t161
117,2 Ecotodermal,4 Terminally differentiated,7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,1010100010000000000000,189,Head,Brain,Cerebellum,,White matter,,,,,,,Neuron,,CL:0000540,,,t161
